sNoEmplacement,sCodeAutocollant
A007,CH-AA
A007,MX-01
A007,MX-02
A008,CH-AA
A008,MX-01
A008,MX-02
A009,CH-AA
A009,MX-01
A009,MX-02
A010,CH-AA
A010,MX-01
A010,MX-02
A011,CH-AA
A011,MX-01
A011,MX-02
A012,CH-AA
A012,MX-01
A012,MX-02
A013,CH-AA
A013,MX-01
A013,MX-02
A014,CH-AA
A014,MX-01
A014,MX-02
A015,CH-AA
A015,MX-01
A015,MX-02
A016,CH-AA
A016,MX-01
A016,MX-02
A017,CH-AA
A017,MX-01
A017,MX-02
A018,CH-AA
A018,MX-01
A018,MX-02
A019,CH-AA
A019,MX-01
A019,MX-02
A020,CH-AA
A020,MX-01
A020,MX-02
A133,CH-AA
A133,MX-01
A133,MX-02
A133,ZY-14
A134,CH-AA
A134,MX-01
A134,MX-02
A134,ZY-14
A135,CH-AA
A135,MX-01
A135,MX-02
A135,ZY-14
A136,CH-AA
A136,MX-01
A136,MX-02
A136,ZY-14
A137,CH-AA
A137,MX-01
A137,MX-02
A137,ZY-14
A138,CH-AA
A138,MX-01
A138,MX-02
A138,ZY-14
A158,CH-AA
A158,MX-01
A158,MX-02
A158,ZZ-69
A159,CH-AA
A159,MX-01
A159,MX-02
A159,ZZ-69
A160,CH-AA
A160,MX-01
A160,MX-02
A160,ZZ-69
A161,CH-AA
A161,MX-01
A161,MX-02
A161,ZZ-69
A167,CH-AA
A167,MX-01
A167,MX-02
A167,ZZ-69
A168,CH-AA
A168,MX-01
A168,MX-02
A168,ZZ-69
A169,CH-AA
A169,MX-01
A169,MX-02
A169,ZZ-69
A170,CH-AA
A170,MX-01
A170,MX-02
A170,ZZ-69
A171,CH-AA
A171,MX-01
A171,MX-02
A171,ZZ-69
A172,CH-AA
A172,MX-01
A172,MX-02
A172,ZZ-69
A173,CH-AA
A173,MX-01
A173,MX-02
A173,ZZ-69
A174,CH-AA
A174,MX-01
A174,MX-02
A174,ZZ-69
A175,CH-AA
A175,MX-01
A175,MX-02
A175,ZZ-69
A176,CH-AA
A176,MX-01
A176,MX-02
A176,ZZ-69
A190,CH-AA
A190,MX-01
A190,MX-02
A190,ZZ-69
A194,CH-AA
A194,MX-01
A194,MX-02
A194,ZZ-69
A195,CH-AA
A195,MX-01
A195,MX-02
A195,ZZ-69
A196,CH-AA
A196,MX-01
A196,MX-02
A196,ZZ-69
A204,CH-AA
A204,MX-01
A204,MX-02
A204,ZZ-69
A205,CH-AA
A205,MX-01
A205,MX-02
A205,ZZ-69
A207,CH-AA
A207,MX-01
A207,MX-02
A207,ZZ-69
A208,CH-AA
A208,MX-01
A208,MX-02
A208,ZZ-69
A209,CH-AA
A209,MX-01
A209,MX-02
A209,ZZ-69
A214,CH-AA
A214,MX-01
A214,MX-02
A214,ZZ-69
A217,CH-AA
A217,MX-01
A217,MX-02
A217,ZZ-69
A218,CH-AA
A218,MX-01
A218,MX-02
A218,ZZ-69
A219,CH-AA
A219,MX-01
A219,MX-02
A219,ZZ-69
A220,CH-AA
A220,MX-01
A220,MX-02
A220,ZZ-69
A221,CH-AA
A221,MX-01
A221,MX-02
A221,ZZ-69
A237,CH-AA
A237,MX-01
A237,MX-02
A237,ZZ-69
A238,CH-AA
A238,MX-01
A238,MX-02
A238,ZZ-69
A239,CH-AA
A239,MX-01
A239,MX-02
A239,ZZ-69
A240,CH-AA
A240,MX-01
A240,MX-02
A240,ZZ-69
A241,CH-AA
A241,MX-01
A241,MX-02
A241,ZZ-69
A242,CH-AA
A242,MX-01
A242,MX-02
A242,ZZ-69
A258,CH-AA
A258,MX-01
A258,MX-02
A258,PC-VE
A258,ZY-14
A259,CH-AA
A259,MX-01
A259,MX-02
A259,PC-VE
A259,ZY-14
A260,CH-AA
A260,MX-01
A260,MX-02
A260,ZY-14
A261,CH-AA
A261,MX-01
A261,MX-02
A261,ZY-14
A264,CH-AA
A264,MX-01
A264,MX-02
A264,ZY-14
A265,CH-AA
A265,MX-01
A265,MX-02
A265,ZY-14
A266,CH-AA
A266,MX-01
A266,MX-02
A266,ZY-14
A267,CH-AA
A267,MX-01
A267,MX-02
A267,ZY-14
A273,CH-AA
A273,MX-01
A273,MX-02
A273,ZY-14
A281,CH-AA
A281,MX-01
A281,MX-02
A281,ZY-14
A282,CH-AA
A282,MX-01
A282,MX-02
A282,ZY-14
A283,CH-AA
A283,MX-01
A283,MX-02
A283,ZY-14
A284,CH-AA
A284,MX-01
A284,MX-02
A284,ZY-14
A285,CH-AA
A285,MX-01
A285,MX-02
A285,ZY-14
A286,CH-AA
A286,MX-01
A286,MX-02
A286,ZY-14
A290,CH-AA
A290,MX-01
A290,MX-02
A290,ZY-14
A291,CH-AA
A291,MX-01
A291,MX-02
A291,ZY-14
A292,CH-AA
A292,MX-01
A292,MX-02
A292,ZY-14
A293,CH-AA
A293,MX-01
A293,MX-02
A293,ZY-14
A294,CH-AA
A294,MX-01
A294,MX-02
A294,ZY-14
A295,CH-AA
A295,MX-01
A295,MX-02
A295,ZY-14
A300,CH-AA
A300,MX-01
A300,MX-02
A300,ZY-14
A301,CH-AA
A301,MX-01
A301,MX-02
A301,ZY-14
A302,CH-AA
A302,MX-01
A302,MX-02
A302,ZY-14
A303,CH-AA
A303,MX-01
A303,MX-02
A303,ZY-14
A304,CH-AA
A304,MX-01
A304,MX-02
A304,ZY-14
A305,CH-AA
A305,MX-01
A305,MX-02
A305,ZY-14
A306,CH-AA
A306,MX-01
A306,MX-02
A306,ZY-14
A311,CH-AA
A311,MX-01
A311,MX-02
A311,ZY-14
A317,CH-AA
A317,MX-01
A317,MX-02
A317,ZY-14
A318,CH-AA
A318,MX-01
A318,MX-02
A318,ZY-14
A319,CH-AA
A319,MX-01
A319,MX-02
A319,ZY-14
A320,CH-AA
A320,MX-01
A320,MX-02
A320,ZY-14
A321,CH-AA
A321,MX-01
A321,MX-02
A321,ZZ-69
A322,CH-AA
A322,MX-01
A322,MX-02
A322,ZZ-69
A323,CH-TM
A323,CI-SD
A323,MX-01
A323,MX-02
A323,ZY-51
A324,CH-TM
A324,CI-SD
A324,MX-01
A324,MX-02
A324,ZY-51
A325,CH-TM
A325,CI-SD
A325,MX-01
A325,MX-02
A325,ZY-51
A329,CH-AA
A329,MX-01
A329,MX-02
A329,ZY-14
A330,CH-AA
A330,MX-01
A330,MX-02
A330,ZY-14
A331,CH-AA
A331,MX-01
A331,MX-02
A331,ZY-14
A332,CH-AA
A332,MX-01
A332,MX-02
A332,ZY-14
A334,CH-AA
A334,MX-01
A334,MX-02
A334,ZY-14
A335,CH-AA
A335,MX-01
A335,MX-02
A335,ZY-14
A336,CH-AA
A336,MX-01
A336,MX-02
A336,ZY-14
A337,CH-AA
A337,MX-01
A337,MX-02
A337,ZY-14
A346,CH-AA
A346,MX-01
A346,MX-02
A346,ZY-14
A347,CH-AA
A347,MX-01
A347,MX-02
A347,ZY-14
A348,CH-AA
A348,MX-01
A348,MX-02
A348,ZY-14
A349,CH-AA
A349,MX-01
A349,MX-02
A349,ZY-14
A361,CH-AA
A361,MX-01
A361,MX-02
A361,ZZ-69
A362,CH-AA
A362,MX-01
A362,MX-02
A362,ZZ-69
A363,CH-AA
A363,MX-01
A363,MX-02
A363,ZZ-69
A364,CH-AA
A364,MX-01
A364,MX-02
A364,ZZ-69
A416,CH-AA
A416,MX-01
A416,MX-02
A416,ZZ-53
A417,CH-AA
A417,MX-01
A417,MX-02
A417,ZZ-53
A460,CH-PB
A460,MX-01
A460,MX-02
A460,SR-PB
A461,CH-PB
A461,MX-01
A461,MX-02
A461,SR-PB
A462,CH-PB
A462,MX-01
A462,MX-02
A462,SR-PB
A490,CH-PB
A490,MX-01
A490,MX-02
A490,SR-PB
A491,CH-PB
A491,MX-01
A491,MX-02
A491,SR-PB
A492,CH-PB
A492,MX-01
A492,MX-02
A492,SR-PB
A493,CH-PB
A493,MX-01
A493,MX-02
A493,SR-PB
A497,CH-PB
A497,MX-01
A497,MX-02
A497,SR-PB
A498,CH-PB
A498,MX-01
A498,MX-02
A498,SR-PB
A501,CH-AY
A501,MX-01
A501,MX-02
A501,SI-AY
A501,SR-PB
A547,CH-AA
A547,MX-01
A547,MX-02
A548,CH-AA
A548,MX-01
A548,MX-02
A554,CH-AA
A554,MX-01
A554,MX-02
A555,CH-AA
A555,MX-01
A555,MX-02
A556,CH-AA
A556,MX-01
A556,MX-02
A557,CH-AA
A557,MX-01
A557,MX-02
A558,CH-AA
A558,MX-01
A558,MX-02
A559,CH-AA
A559,MX-01
A559,MX-02
A560,CH-AA
A560,MX-01
A560,MX-02
A561,CH-AA
A561,MX-01
A561,MX-02
A562,CH-AA
A562,MX-01
A562,MX-02
A563,CH-AA
A563,MX-01
A563,MX-02
A564,CH-AA
A564,MX-01
A564,MX-02
A565,CH-AA
A565,MX-01
A565,MX-02
A567,CH-AA
A567,MX-01
A567,MX-02
A568,CH-AA
A568,MX-01
A568,MX-02
A569,CH-AA
A569,MX-01
A569,MX-02
A570,CH-AA
A570,MX-01
A570,MX-02
A571,CH-AA
A571,MX-01
A571,MX-02
A572,CH-AA
A572,MX-01
A572,MX-02
A573,CH-AA
A573,MX-01
A573,MX-02
A574,CH-AA
A574,MX-01
A574,MX-02
A576,CH-AA
A576,MX-01
A576,MX-02
A577,CH-AA
A577,MX-01
A577,MX-02
A578,CH-AA
A578,MX-01
A578,MX-02
A579,CH-AA
A579,MX-01
A579,MX-02
A580,CH-AA
A580,MX-01
A580,MX-02
A581,CH-AA
A581,MX-01
A581,MX-02
A582,CH-AA
A582,MX-01
A582,MX-02
A583,CH-AA
A583,MX-01
A583,MX-02
A588,CH-AA
A588,MX-01
A588,MX-02
A589,CH-AA
A589,MX-01
A589,MX-02
A590,CH-AA
A590,MX-01
A590,MX-02
A591,CH-AA
A591,MX-01
A591,MX-02
A592,CH-AA
A592,MX-01
A592,MX-02
A593,CH-AA
A593,MX-01
A593,MX-02
A594,CH-AA
A594,MX-01
A594,MX-02
A595,CH-AA
A595,MX-01
A595,MX-02
A596,CH-AA
A596,MX-01
A596,MX-02
