sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
A007,-73.581856495901178000,45.489593126278201000,-73.581869709261980000,45.489623119296937000,1,NORMAL,Double,A008,Sussex,0,Régulier Payez-Partez,300,S,
A008,-73.581856495901178000,45.489593126278201000,-73.581805638397896000,45.489591768084260000,1,NORMAL,Double,A007,Sussex,0,Régulier Payez-Partez,300,S,
A009,-73.581726934842166000,45.489531785184084000,-73.581740170593861000,45.489561878728331000,1,NORMAL,Double,A010,Sussex,0,Régulier Payez-Partez,300,S,
A010,-73.581726934842166000,45.489531785184084000,-73.581676099871004000,45.489530527442540000,1,NORMAL,Double,A009,Sussex,0,Régulier Payez-Partez,300,S,
A011,-73.581597396534718000,45.489470544450526000,-73.581610632206377000,45.489500638012856000,1,NORMAL,Double,A012,Sussex,0,Régulier Payez-Partez,300,S,
A012,-73.581597396534718000,45.489470544450526000,-73.581546561624748000,45.489469286653076000,1,NORMAL,Double,A011,Sussex,0,Régulier Payez-Partez,300,S,
A013,-73.581467858507892000,45.489409303570113000,-73.581481094099530000,45.489439397148729000,1,NORMAL,Double,A014,Sussex,0,Régulier Payez-Partez,300,S,
A014,-73.581467858507892000,45.489409303570113000,-73.581421849797948000,45.489407857543121000,1,NORMAL,Double,A013,Sussex,0,Régulier Payez-Partez,300,S,
A015,-73.581343531552008000,45.489342941588127000,-73.581359681855844000,45.489374676970662000,1,NORMAL,Double,A016,Sussex,0,Régulier Payez-Partez,300,S,
A016,-73.581343531552008000,45.489342941588127000,-73.581297513986840000,45.489341496364084000,1,NORMAL,Double,A015,Sussex,0,Régulier Payez-Partez,300,S,
A017,-73.581219195975677000,45.489276580322930000,-73.581232925692703000,45.489307023836325000,1,NORMAL,Double,A018,Sussex,0,Régulier Payez-Partez,300,S,
A018,-73.581219195975677000,45.489276580322930000,-73.581173178467665000,45.489275135049631000,1,NORMAL,Double,A017,Sussex,0,Régulier Payez-Partez,300,S,
A019,-73.581094860691280000,45.489210218921436000,-73.581109634853007000,45.489241219947274000,1,NORMAL,Double,A020,Sussex,0,Régulier Payez-Partez,300,S,
A020,-73.581094860691280000,45.489210218921436000,-73.581048843240552000,45.489208773598008000,1,NORMAL,Double,A019,Sussex,0,Régulier Payez-Partez,300,S,
A133,-73.588656043203585000,45.490465563801472000,-73.588723145565538000,45.490465480520918000,1,NORMAL,Double,A134,Sherbrooke,1,Régulier Payez-Partez,300,S,
A134,-73.588656043203585000,45.490465563801472000,-73.588671596958719000,45.490512125324734000,1,NORMAL,Double,A133,Sherbrooke,1,Régulier Payez-Partez,300,S,
A135,-73.588554913382723000,45.490558191306313000,-73.588620048266719000,45.490558770104990000,1,NORMAL,Double,A136,Sherbrooke,1,Régulier Payez-Partez,300,S,
A136,-73.588554913382723000,45.490558191306313000,-73.588569357262045000,45.490604638693036000,1,NORMAL,Double,A135,Sherbrooke,1,Régulier Payez-Partez,300,S,
A137,-73.588452503871295000,45.490650828709462000,-73.588518282457116000,45.490650854471092000,1,NORMAL,Double,A138,Sherbrooke,1,Régulier Payez-Partez,300,S,
A138,-73.588452503871295000,45.490650828709462000,-73.588467207568542000,45.490697070225998000,1,NORMAL,Double,A137,Sherbrooke,1,Régulier Payez-Partez,300,S,
A158,-73.587324855128443000,45.491937286736409000,-73.587309843460574000,45.491891622449067000,1,NORMAL,Double,A159,Sherbrooke,1,Régulier Payez-Partez,300,S,
A159,-73.587324855128443000,45.491937286736409000,-73.587254083725327000,45.491928525769701000,1,NORMAL,Double,A158,Sherbrooke,1,Régulier Payez-Partez,300,S,
A160,-73.587216286199890000,45.492012722684876000,-73.587198323917391000,45.491965429062930000,1,NORMAL,Double,A161,Sherbrooke,1,Régulier Payez-Partez,300,S,
A161,-73.587216286199890000,45.492012722684876000,-73.587147088095065000,45.491999338198255000,1,NORMAL,Double,A160,Sherbrooke,1,Régulier Payez-Partez,300,S,
A167,-73.586822207597749000,45.492256745845033000,-73.586811891364150000,45.492209815267358000,1,NORMAL,Double,A168,Sherbrooke,0,Régulier Payez-Partez,300,S,
A168,-73.586822207597749000,45.492256745845033000,-73.586753187562152000,45.492244831378109000,1,NORMAL,Double,A167,Sherbrooke,0,Régulier Payez-Partez,300,S,
